name,family,ticker,category,is_sharpe,oos_sharpe,oos_drawdown,trade_count
overnight_gap__period3__threshold0.001,overnight_gap,XLV,volume,0.1978,0.6659,-0.1657,1500
overnight_gap__period3__threshold0.003,overnight_gap,XLV,volume,-0.0776,0.2753,-0.1022,830
overnight_gap__period5__threshold0.001,overnight_gap,XLV,volume,0.4571,-0.0401,-0.1693,1143
overnight_gap__period5__threshold0.003,overnight_gap,XLV,volume,-0.079,0.1001,-0.1153,482
coppock_curve__roc1252__roc2189__wma_period63,coppock_curve,XLV,trend,0.5876,0.6096,-0.1644,6
coppock_curve__roc1189__roc2126__wma_period42,coppock_curve,XLV,trend,0.5726,0.2389,-0.3016,19
coppock_curve__roc1126__roc2100__wma_period21,coppock_curve,XLV,trend,0.0192,0.4219,-0.2576,38
high52_momentum__period252__threshold0.7,high52_momentum,XLI,trend,0.4115,-0.0611,-0.3974,186
high52_momentum__period252__threshold0.75,high52_momentum,XLI,trend,0.3006,0.0039,-0.3713,200
high52_momentum__period252__threshold0.8,high52_momentum,XLI,trend,0.0639,-0.0991,-0.376,248
high52_momentum__period126__threshold0.7,high52_momentum,XLI,trend,0.3451,-0.2539,-0.418,302
high52_momentum__period126__threshold0.75,high52_momentum,XLI,trend,0.2282,-0.3785,-0.3959,338
short_reversal__period5,short_reversal,XLI,meanrev,0.0262,-0.0505,-0.289,737
short_reversal__period10,short_reversal,XLI,meanrev,-0.288,0.6307,-0.2418,509
short_reversal__period15,short_reversal,XLI,meanrev,-0.0169,0.2959,-0.2597,442
short_reversal__period20,short_reversal,XLI,meanrev,-0.1164,0.4487,-0.2849,377
low_vol_regime__period20__ma_period60,low_vol_regime,XLI,volatility,-0.3277,-0.5856,-0.2686,132
low_vol_regime__period20__ma_period120,low_vol_regime,XLI,volatility,-0.4433,-0.067,-0.2182,156
low_vol_regime__period60__ma_period120,low_vol_regime,XLI,volatility,-0.6129,-0.3813,-0.2609,48
low_vol_regime__period20__ma_period252,low_vol_regime,XLI,volatility,-0.5443,-0.2078,-0.1836,158
